,Top1_rec,Top2_rec,Top3_rec,Top4_rec,Top5_rec,Top6_rec,Top7_rec,Top8_rec,Top9_rec,Top10_rec
12430,84970S,84378,22993,23084,22188,22556,23298,22623,84970L,22187
12431,48187,21212,22111,21523,84050,22781,21210,23173,22212,84692
12432,22090,22937,84879,22622,23084,21249,20665,48194,21918,23255
12433,22654,22740,22441,22996,23439,22195,22178,84029G,22844,21164
12434,21622,47566,22197,23393,22668,22690,23050,21563,22189,23084
12435,22726,22385,22632,22386,22191,22411,22629,22779,79321,22729
12436,84991,23307,21212,21976,23245,22952,23236,21213,22951,23313
12437,23298,84375,23245,23108,22993,22557,22734,21977,22956,22382
12438,23190,84077,21429,20682,21452,21912,22561,23480,20749,22627
12441,47566,22960,22668,23298,22721,22083,23320,16156S,23319,22734
12442,21210,21124,21122,21212,22089,21977,22083,84988,22557,22333
12444,82483,84380,21260,22699,23402,23035,22727,22800,82486,23020
12445,85035C,23552,22423,21314,22457,72807C,85034A,23498,85036B,23570
12446,22379,POST,21217,22627,22961,20728,47590A,21136,22617,20750
12447,21240,20675,21244,21843,21844,20677,21239,22329,21559,22301
12448,84879,22629,22554,22551,22558,21156,47591D,22555,22556,23192
12449,22556,22550,84509A,23191,21892,23370,22730,22659,84879,22818
12450,23206,23208,23207,15036,23155,22960,22979,22923,23184,23166
12451,22328,23320,23571,21121,21746,20749,21452,22329,22637,23350
12452,22557,22910,23390,23569,23389,23077,22492,22553,22899,23367
12453,23298,22558,22551,22556,22631,22326,22082,85049E,23231,23243
12454,22336,22339,22335,22337,22342,22343,22334,22333,22332,22331
12455,21390,84945,23199,21124,23206,22423,22457,21989,22295,21733
12456,22791,21326,20749,20975,84945,21212,22556,35970,22557,23396
12457,22899,22326,23254,23256,23202,22423,85014B,15056BL,23209,23010
12458,21430,20750,22383,21249,20749,20725,21428,22629,20727,23077
12461,22727,48188,22728,48138,22557,22366,22729,21135,22690,22507
12462,21733,23084,22055,22646,22851,20750,20685,23109,21623,84949
12463,21135,22631,23013,21559,21108,22922,22488,84347,23345,21871
12464,22849,22626,22193,22191,22848,22781,22424,22720,21463,22192
12465,21843,21217,21216,21080,20682,21976,21558,21977,22966,22328
12468,22555,84997D,23388,21578,22631,22668,21680,22079,22433,21559
12471,84380,23493,23247,23274,22630,22989,23154,22895,23494,22418
12472,20685,84380,22966,22720,22617,85099B,23208,22243,22138,23268
12473,23354,23351,21990,21993,22555,22693,82486,23191,20682,23349
12474,23230,20726,23353,23208,22138,22742,23308,23350,21544,23209
12475,22617,23480,22139,21731,22622,22557,20749,22619,22090,20977
12476,23320,48138,22457,21770,23238,21733,22634,22988,22766,22791
12477,82583,22895,82484,22348,21537,22644,21154,21770,22427,22766
12478,20726,22383,22662,22384,20981,20749,21452,22113,22835,22367
12479,20974,21975,23307,21559,22352,22907,20975,84988,22080,21218
12480,21892,22621,22301,21559,23232,23191,21889,23076,22619,23307
12481,21212,23010,23173,23174,22193,22485,20685,22621,23191,21754
12483,22139,20728,22549,23256,22750,22273,21791,22274,21790,22505
12484,22721,21733,21497,22508,21833,21523,22960,21380,21217,22668
12488,20725,23010,22367,22449,21452,22941,20977,21843,20728,22617
12489,20749,22554,22551,22617,22555,22499,22605,22352,22619,21481
12490,21035,23353,23354,23201,22617,21212,22734,22636,23190,22138
12491,22629,22635,21452,22636,23368,23346,21481,23480,22898,22631
12492,22113,22355,22630,84029E,21249,23356,23354,22585,23375,22637
12493,20727,85099B,23208,22662,23201,21936,23202,23200,22386,85099F
12494,85152,21977,84992,21181,21165,20719,82582,85150,22326,22384
12497,16156S,23232,23439,23231,22045,22866,22633,22560,21704,21791
12498,20725,22384,22383,22595,22382,23208,22457,22111,20724,22113
12500,22961,23397,22558,23393,46000M,23394,22957,22411,46000S,23283
12501,22667,16161P,21218,79000,21039,20749,21843,22326,22723,21578
12502,22191,21481,22192,15056BL,22730,15056N,48173C,22729,21340,48138
12503,22351,22354,22350,22352,22356,22344,22349,22348,22346,22345
12504,21123,21212,21126,21977,21080,84879,21125,21156,22367,21094
12505,22351,22354,22350,22352,22356,22344,22349,22348,22346,22345
12506,22961,22838,22839,22846,22965,22666,22842,22993,22925,23243
12507,22966,23307,22938,22964,22993,22417,22930,23308,22776,23240
12508,22158,21892,22469,22579,23263,23323,23238,22988,22505,23394
12509,23298,20719,22661,23204,23205,84879,22457,22668,47590A,20718
12510,21790,20724,22941,23084,20723,22356,22041,22621,21891,21232
12512,85014A,21430,21500,21499,21584,22669,21114,20749,20685,21498
12513,22382,21124,22551,20725,22555,21499,21207,22386,22556,22662
12514,22720,20750,22631,22974,22967,21877,20727,23241,22326,23242
12515,22699,22222,23245,22220,15056BL,22698,84991,85014B,20679,21975
12516,21931,20713,22355,22663,20723,23344,23204,23202,21929,23200
12517,23076,23240,23109,22940,22663,20718,23203,23245,23439,21428
12518,22492,22045,23346,22301,23255,22704,22466,22632,21121,23480
12519,23274,21242,22329,22328,22505,21238,22645,22734,22064,20675
12520,22899,22636,23032,22898,23084,22180,21154,22668,23049,21539
12521,85099B,21669,22386,21673,21672,23203,22771,20713,23075,22385
12522,22457,22077,22138,72760B,22139,22507,20975,23469,23354,22186
12523,22858,22072,23210,22859,20750,22697,22620,23232,22632,22860
12524,21080,20749,21039,62018,22331,22897,22908,22382,22895,21989
12526,85099B,23202,20725,21929,22379,21931,22274,23206,21259,22384
12527,20723,84992,21212,21122,20718,23307,21124,23204,72349B,22083
12528,22236,21231,22063,22061,22059,22776,22055,23076,22060,22624
12530,22356,22139,22080,20750,22580,22384,84997A,23263,22571,22326
12531,22466,23388,22556,22326,21481,20977,21976,20750,22964,84380
12532,22633,22865,23312,22086,22632,23298,23100,23084,23489,22083
12534,21673,22457,23144,23236,21671,21787,23298,21212,16161P,23240
12535,23427,22627,POST,46000M,23407,23355,23394,22114,22989,22429
12536,22734,20685,15036,23284,22699,22652,22969,22441,23240,22697
12538,20749,22666,23191,22667,23188,22652,22902,22616,22970,22971
12539,22840,23076,22492,22654,22236,22846,84347,23318,22723,22848
12540,22595,22457,22636,23349,21481,23353,23268,22180,22080,23191
12541,21977,23293,85099B,84997B,22593,22950,23234,21245,22941,20750
12544,22961,20750,22940,20972,22141,22150,22142,23513,22149,23126
12545,22692,22734,21977,22236,21976,47567B,22416,85049A,21210,21975
12546,23265,22570,22179,22457,22274,22749,22089,22585,22090,22271
12547,21094,84988,21086,20974,22197,20750,22584,21210,84580,20749
12548,21977,21974,84992,21975,84987,84991,23307,84378,23306,21213
12550,22720,22692,85014A,22557,21787,22629,15056BL,48187,22907,85099B
12551,21929,22411,21931,20713,20711,22385,21930,23200,23199,23201
12552,21217,21756,21539,21531,21533,85099B,21035,22989,21843,22619
12553,22555,22551,21481,22557,20719,22619,21452,23200,22432,22580
12556,22961,22296,22457,22294,22784,22759,22854,22555,22077,22295
12557,20676,22382,20675,23206,23207,20677,23209,20674,21245,23256
12558,22342,22343,22334,22333,22332,22331,22341,22329,22356,22344
12559,22301,22300,22367,22939,22328,22971,22894,22326,22972,22970
12560,22423,22328,22720,22730,22652,22555,22556,21481,23173,22631
12561,16156S,22895,22720,22629,23231,21955,21524,22986,21523,48194
12562,20724,23290,23292,23351,23346,22634,22899,23241,22635,85014B
12564,22662,20725,20726,20749,20728,23008,21559,21706,85014B,20727
12565,22554,22551,23013,23014,22960,22364,22360,21981,22957,22359
12566,22646,23077,22617,22645,22625,22649,22065,22637,23255,37495
12567,22549,23493,22969,21791,23065,21790,72741,22504,23245,21481
12569,20679,47591D,15056P,22195,84991,22061,22236,37446,15056BL,22554
12571,22333,22584,21210,22557,22457,20983,21249,22331,22128,22556
12572,22729,22692,21135,21481,20750,84945,22847,84988,48187,84279P
12573,21746,22427,22295,22784,84978,85066,22430,21135,22837,22637
12574,21314,22800,22457,22723,22188,22960,22720,22722,23243,82484
12576,21155,82551,22558,84836,21260,23298,84970S,22674,22855,22670
12577,23323,23100,20975,22694,23215,35970,22326,23439,23491,22328
12578,22720,21558,22795,22632,22418,22896,22560,22838,22865,22652
12579,22555,22433,22556,21499,23389,22557,21242,21500,22553,21749
12580,22556,22557,22553,22749,22750,22384,22383,22274,22147,20971
12581,22328,35970,23271,22578,22457,22577,22959,22791,23273,84970S
12582,20914,23243,22781,21245,23156,22720,22961,20750,21977,21154
12583,23569,20676,23192,22776,22630,21829,22628,22734,21544,22899
12584,21539,21523,20685,21531,21955,21755,22690,21906,22626,22192
12585,22635,21974,21977,22551,22771,22585,21670,20972,20750,21671
12586,22969,22722,22617,22847,85066,22979,22960,22621,22980,22637
12587,23199,85099C,23201,85099F,20712,21929,21931,22385,21928,23202
12588,22993,22215,22139,22220,22617,22942,84378,22131,22978,22697
12589,84375,23307,21232,21210,21212,22952,22626,84987,22178,21156
12590,22937,84375,22382,22931,48187,21558,23206,22978,23204,21212
12591,22236,84987,21210,22196,84378,22960,22993,21622,72741,22078
12592,20725,22383,22384,22630,22356,22355,22662,23209,23204,22326
12593,22383,20725,23209,22631,22326,23207,21936,23084,21559,21933
12594,22367,22467,23083,85123A,21731,21935,23284,22487,22149,22355
12596,22457,23166,22627,23165,22456,22626,23077,23298,23159,22962
12597,21990,84978,22766,21929,21430,21976,85053,23243,20749,21733
12598,84077,22971,22139,23192,22557,22355,22302,22301,22418,22900
12599,22083,20974,22910,23318,21210,20979,22332,21207,21242,20675
12600,22326,15056P,47504K,21933,22662,22411,21430,15060B,20724,22386
12601,22555,22556,22557,22430,35970,22326,22171,22173,82483,82486
12602,23503,23368,20975,23367,23569,23511,23515,23571,23513,23514
12603,22697,22698,21314,20750,23084,21843,22457,23173,22236,22776
12604,21124,21121,23307,22417,23296,22617,21975,84380,21976,23294
12605,22356,22344,22345,22346,22348,22349,22350,22351,22352,22353
12607,22309,22305,22307,22312,22313,22304,22303,22302,22301,22311
12609,21787,21731,22631,22492,23206,22972,22652,22549,22898,23108
12610,84879,22622,22585,21843,23245,22940,23322,23494,22045,22485
12611,22138,22621,84988,22557,23108,23328,23319,21210,23084,21889
12612,22993,15056N,22624,90200E,21623,90200A,22791,90200B,22946,22744
12613,84997B,23203,20979,23480,20750,21731,21544,84997A,21669,22086
12614,22352,21524,22720,84029G,20750,22367,84029E,48194,23356,22326
12615,21452,23212,23108,21892,21791,22619,23188,23177,21257,20679
12616,22630,22631,22617,22138,22636,20977,22557,22898,22553,23229
12617,22470,23323,22739,22696,23330,23517,85049E,22694,23351,23516
12618,20749,21498,21114,21452,22619,23298,22325,21249,23433,22941
12619,21213,22417,84991,22951,22736,84992,22434,22955,23297,21975
12620,22178,85123A,22551,20981,23298,22556,35953,84997B,22555,22384
12621,22746,22179,23352,79321,23201,22892,21735,23351,21257,23445
12622,23084,85123A,22487,21326,22456,23344,23081,22488,22138,85034B
12623,22328,23199,20713,22895,23200,21559,20723,23206,20676,22897
12624,21578,22617,22619,46000S,22114,22326,21380,22666,21314,20975
12625,22090,23202,22636,23298,22752,22904,23010,22631,22743,23008
12626,20749,23080,84997D,20975,21918,22621,22556,23569,22759,84997C
12627,22740,20682,23236,22328,22961,21990,21164,20718,23494,23543
12628,23318,23298,22556,23203,22585,21121,23320,23319,23310,84879
12630,22776,22139,22457,46000S,21770,23397,47591D,35970,22617,23407
12631,85014A,23084,22180,21672,23108,23298,21121,21156,21673,20749
12633,20712,20914,22138,22555,22411,21535,22554,23192,21527,22386
12635,23239,22138,23245,84970S,22960,23236,23241,23053,22077,22301
12637,23084,22212,20712,22329,23245,23255,23480,22466,23280,22894
12638,21977,85175,23312,85048,23407,22367,21615,21620,22807,21617
12639,21122,22964,84378,22382,22966,21121,22993,22606,23256,22554
12640,23173,23170,23171,22138,23172,22728,23162,20750,22846,21892
12641,22625,22551,21212,22966,84375,22554,22374,22138,22215,22617
12642,22938,21212,22333,21843,23294,22626,22625,22847,22960,84380
12643,22084,21080,22437,22499,22558,21207,21975,47566,21749,21094
12644,22960,23236,22963,22907,21212,22722,84879,22993,23306,23243
12645,21976,23388,22467,20725,23389,23200,20724,22417,20727,22423
12646,22333,23170,23171,22699,22697,22698,22082,22079,23172,23256
12647,85123A,22720,21563,23084,22993,84946,22980,22960,22197,22378
12648,84997A,84997B,23298,23256,84580,21094,21086,23254,20750,22499
12649,23177,22556,22557,21314,22759,23480,22352,22668,22555,20682
12650,22328,22457,21558,21559,20978,22352,22817,22712,21934,22659
12651,21212,20679,22558,15056N,85014B,20914,21154,85014A,21039,21042
12652,22971,22555,21181,21165,85152,21210,22556,22616,20723,22961
12653,21135,23205,22631,23204,23389,22972,23173,21481,23171,20723
12654,22328,21481,22555,23480,22551,22557,22139,22630,22866,22352
12656,21249,23201,22411,22730,20728,23207,20979,20749,23202,21868
12657,22898,22698,22699,23172,23319,22970,23245,22659,22909,22952
12658,22725,22727,85014A,22729,23245,22732,15056N,22193,22812,22467
12659,23393,46000S,23397,22961,23188,23084,46000M,23427,22178,21135
12660,22551,22176,22652,84378,22139,84078A,84580,84380,21116,22449
12662,85099B,23079,22179,20971,22142,22621,22632,23203,22271,20749
12664,23256,23255,23254,22139,21731,22326,21452,20750,22243,22674
12665,22645,22064,22644,21314,22649,21731,37446,22055,37448,22059
12666,22355,22351,22354,22350,22352,22356,22344,22349,22348,22346
12667,22558,82494L,21080,23322,22980,21843,22989,21977,22979,22423
12668,22557,22553,23084,22556,21217,22937,22851,21042,22617,21844
12669,22969,22728,22967,23205,22720,22725,22974,22558,22077,23078
12670,23238,22988,21558,23108,84378,23438,22908,84380,22630,23237
12672,POST,15056BL,21217,15056N,22646,21216,22644,15056P,85014A,23298
12673,23581,22386,22557,23298,23084,85099F,21731,20749,20973,22617
12674,21829,22466,23255,22730,22585,22729,23078,22436,22725,21754
12676,47599A,47566,22333,21094,22417,21977,21086,22083,21207,47599B
12678,22980,22993,22720,85099B,23494,20749,22630,20727,22384,20750
12679,22326,22556,23256,23254,20750,22352,22138,22487,20674,22457
12680,22554,22557,23084,23346,22729,23345,23389,22617,23290,22636
12681,23571,23293,84347,23569,21891,23307,22367,20727,22243,47590A
12682,23108,22900,23201,22781,23169,22652,22939,22907,22734,23170
12683,22957,22988,22970,22466,22720,23243,47566B,20724,22332,22971
12684,22561,22554,22544,21889,21914,47591D,21829,22727,21212,22726
12685,22960,22086,72741,22197,22556,22662,22385,22144,22466,20750
12686,22548,21787,22540,22899,22531,22534,23229,20719,21888,20724
12688,22771,21039,22661,23205,23084,84968C,23388,21993,22381,21430
12689,22630,23298,22326,22636,22662,22631,22972,22383,23209,23205
12690,23175,23171,23172,22698,23583,23245,22423,20726,20725,23480
12691,22328,23084,22139,22629,22630,20749,84997D,22138,22631,21558
12693,21155,22895,22501,22993,23127,21929,22558,22720,22966,22502
12694,21121,21212,21977,21210,21989,22222,23296,21988,21987,22964
12695,21623,21625,48185,47590B,22508,21622,21115,21523,22358,22660
12697,22960,22722,22989,22966,22978,23198,22932,22585,22907,23167
12700,23241,84380,22385,22384,21452,23242,20712,22386,20728,20713
12701,22961,23084,23293,23263,22951,22551,84988,22331,23297,21981
12702,21485,84029E,84029G,84030E,22866,21484,22867,22632,22633,22865
12703,22632,22867,22633,21242,22866,22898,22894,21244,21243,21239
12704,22411,20749,20725,22178,23199,48194,23035,23321,22941,23283
12705,20749,22114,22720,23546,22711,22111,21485,22558,22090,23053
12707,22902,23009,22499,21531,23238,21915,22526,22443,22431,22616
12708,84946,35970,22624,22960,21754,22631,23084,22557,22625,22720
12709,22191,22624,22667,22740,22628,48138,22083,21156,23236,22767
12710,20725,20726,20978,22417,21829,20974,20977,20728,22551,23346
12712,82484,22622,21380,84792,22633,20679,23439,22866,21340,23051
12713,22636,23256,23254,23569,22551,23230,21791,22090,84997A,23232
12714,21217,21156,20914,22712,21155,84692,23241,21844,22329,22630
12715,22385,22355,20723,20711,85099F,23205,23200,22411,21931,21929
12716,22908,20675,20677,21244,22659,21217,22704,22333,22352,21989
12717,22728,22960,23298,22776,22767,21671,21668,23031,22772,22720
12718,22698,84988,23174,23170,22141,23172,21974,21977,23171,15056BL
12719,21891,21912,23503,23505,21915,23009,84029G,23238,22620,21888
12720,21428,21537,22750,21976,21932,23199,22751,21218,23200,22331
12721,20750,22386,23349,23351,22632,22433,22964,23346,23480,21914
12722,23263,22086,22768,22910,23311,22572,23352,23437,23211,22767
12723,22818,22816,23391,84029G,48138,22139,22749,22902,21623,23493
12724,22328,23205,23209,23201,22384,20724,23204,20727,23202,23207
12725,72802C,85036C,72802B,72807B,72807A,72349B,85036A,21314,22699,22698
12726,21976,22332,22417,21213,21977,22439,21975,21790,21703,22079
12727,23382,22938,82486,22619,23147,21340,84406B,84279P,22296,21207
12728,23084,22960,22557,22499,22555,84997A,22138,22969,22745,84997D
12729,22556,22617,22555,22557,23255,22747,22553,22492,23388,20978
12731,21918,21917,84077,21731,20750,23445,21340,22489,23192,22556
12732,20675,20677,84997D,84997B,20674,84997A,22326,84997C,21245,20978
12733,47566,22090,22148,22980,23243,22150,47566B,84991,47590A,22978
12734,22236,22221,84823,48185,22215,22865,22423,22090,22060,37450
12735,22554,20749,20724,21891,21890,22556,22555,22501,22617,21977
12736,22220,22236,21976,21975,22221,21213,21210,22215,84991,22090
12738,84992,23307,21213,21974,21975,21210,22417,85049E,84380,72741
12739,22551,22556,22555,22631,22585,22952,23010,22197,23297,22776
12740,22551,22557,POST,21975,22138,20749,22333,21122,84997A,84997D
12743,22158,22845,23129,21136,23320,22179,79321,22945,22468,84832
12744,23313,21164,21914,22573,22577,22809,20914,85152,22966,22077
12747,22470,22428,21755,84755,20713,22426,21756,22385,48185,85066
12748,21112,23297,85173,21874,21705,22132,21947,15044C,20676,22898
12749,84029E,22173,23108,22080,21035,23093,23407,84836,22584,21218
12750,22625,22619,22730,23245,23049,23051,22989,23050,22729,23054
12752,21213,22636,22617,22779,22624,21746,21122,22085,22437,22557
12753,20975,21791,22938,22111,85015,22635,22487,22824,23194,22098
12754,21888,21918,21917,21791,22560,22548,22535,22537,21889,22491
12755,21559,22327,21558,22352,22629,22631,22895,22630,22960,22781
12756,22549,23493,22567,21563,POST,21314,15060B,37495,85178,20679
12757,23206,20750,22969,23266,22585,22617,23199,20969,22508,22114
12758,85099F,23232,23344,22629,22986,20727,22998,22631,21500,15036
12759,21058,22417,23010,23297,22195,84050,23295,23077,22333,23319
12762,82582,21977,82583,22412,85150,82551,21174,23177,22617,84991
12763,20972,21977,21974,22150,22271,22273,22027,22142,23306,21212
12764,21259,22171,22838,22666,21755,21843,22776,22926,22585,22173
12766,22112,22835,22840,22555,15056P,22318,84991,21937,21558,22866
12769,22457,22326,22413,22723,22720,22960,82600,22666,22383,20726
12770,22383,23206,22851,22382,20727,21936,21932,22907,23207,22662
12772,84997B,84978,85099B,23494,85123A,20914,22667,23092,22144,22557
12775,84836,22189,23270,22854,22188,21733,23146,23007,22457,22151
12778,22356,22646,21977,22624,20724,22964,22417,84375,23308,22951
12779,22980,85123A,21231,48185,22960,22851,22890,21933,23581,22662
12781,20971,22577,22241,22621,21891,22933,21731,35970,21494,22021
12782,21755,22969,22796,84077,23013,21481,23205,23204,21790,82482
12783,22969,22624,48111,22739,22086,21169,20685,22627,22192,23353
12784,85099B,22507,23263,21929,22960,23198,23266,22158,23264,22079
12785,22384,22386,85099F,22960,22382,20726,20749,20727,23583,23199
12787,21485,22079,22386,22113,22111,22457,22080,21481,21929,84029E
12789,72741,22854,22180,22584,22349,22367,22585,22582,22350,22627
12790,23172,23171,22692,22747,48187,22505,21340,22544,22029,22423
12791,22865,22633,23439,22632,22834,21481,22554,22720,23298,84879
12792,84988,23229,21790,22749,22938,22295,22607,84836,22623,85123A
12793,20727,20723,23206,22356,23207,23209,23204,23205,20717,21937
12794,21231,37446,22059,37448,22649,22938,47566B,22063,84536B,22064
12795,22697,22698,23174,23170,22556,22627,23171,23175,22557,22554
12797,21914,22620,15056N,15056P,21790,15056BL,20679,21890,21912,22550
12798,84077,22492,21731,22549,22493,22961,21791,21790,23192,23188
12802,21975,23173,22629,21976,22367,22505,22951,21558,23163,23172
12808,85099B,21928,21936,22382,22384,20725,23201,21933,23343,22383
12809,22722,23243,22666,22652,20914,23170,21080,22554,22573,21977
12811,20728,20726,22385,20712,22383,22384,23201,22382,22967,23084
12812,22960,21977,23243,22666,23293,23295,22965,23308,84991,22417
12814,23480,20750,20749,22467,22466,22960,22197,22326,21314,23108
12815,23245,22907,20679,22620,22139,23084,15056P,23236,85014B,23293
12816,22961,22625,22844,22193,23284,21430,23053,23050,22192,23051
12817,22557,22555,22551,21136,22553,22138,22457,22617,20750,22467
12818,22813,22583,22698,22424,84077,22847,23173,22485,22215,22838
12820,23312,23344,23234,22910,22909,22950,84978,85053,23311,22417
12821,22296,22294,35961,84879,22804,22297,21390,21136,84970S,85123A
12822,21484,22663,20726,22910,23207,21481,85099F,23209,22383,22633
12823,22690,21524,20685,48184,48187,23283,48111,21523,48194,48188
12824,35970,22909,23319,23318,84347,22086,22952,23273,23082,23311
12826,47566,21213,23298,20725,22385,85099B,20724,23208,23201,23204
12827,22990,22367,23352,23165,23393,23354,22464,23167,23427,22469
12828,22644,23076,37495,20749,22114,21485,23311,22112,23213,22320
12829,85066,82484,82486,22776,23404,84879,22423,82483,22782,22526
12830,21889,21892,22620,21791,22492,22530,22534,22531,22561,22619
12831,22079,23144,22487,85123A,84949,22080,22456,23145,84755,22739
12832,21891,21754,21314,21892,22112,85066,21914,22464,22466,22111
12833,23321,82482,82494L,21735,22768,22470,22173,22423,23118,22168
12834,85152,48184,23284,22692,21174,21175,48111,48138,21524,21523
12836,22112,48187,82483,84792,84030E,48184,22212,22561,22829,23092
12837,22845,84879,85048,22470,22469,22692,23332,23344,47566,22846
12838,22144,23318,35970,21733,22142,22553,22804,23490,22617,22732
12839,23108,23201,21479,84755,22423,21498,22386,22766,48185,23199
12840,23200,23208,21385,21733,22487,22855,21931,23203,22663,22804
12841,23311,22776,22089,22955,23100,21188,85048,22577,21201,22228
12842,21790,22910,23191,21754,21914,21755,22824,23229,22854,22992
12843,21928,22189,22386,22662,21929,21931,22382,21155,20727,22411
12844,22086,21908,21175,85123A,47566,85152,22118,21166,35970,23311
12845,22021,21746,23169,22667,85014A,22138,22352,22191,22626,22084
12847,20974,22208,47503A,23078,85034B,71459,23344,20981,22991,21155
12849,22228,22957,22251,22247,22284,21380,22288,22808,21382,22499
12851,22624,23240,23243,22429,22846,23198,22424,23493,22625,85099B
12852,84991,84988,84987,21212,21977,47591D,21213,23245,22951,22949
12853,21523,22173,21977,22907,22692,22835,84970L,22699,48194,23301
12854,22284,22291,21621,22776,23321,20971,22292,84459B,84970S,22938
12855,22846,22847,22980,22960,84978,22854,22979,79321,21658,22829
12856,23343,22326,22909,23491,23344,22630,23356,22328,22730,22899
12857,22605,21876,22667,22120,85123A,20750,22139,22606,21622,21877
12863,22061,23084,37448,22649,37450,22055,37447,22960,22063,22722
12864,15044D,17003,15044B,15044C,40016,15034,22776,84692,23310,22469
12865,21673,20914,23146,23307,23319,23298,21672,22809,23101,23274
