,Top1_rec,Top2_rec,Top3_rec,Top4_rec,Top5_rec,Top6_rec,Top7_rec,Top8_rec,Top9_rec,Top10_rec
12464,12641,12816,14411,12584,12410,17415,13043,12818,12814,12640
12465,12571,12866,12379,13810,12395,15857,12772,12670,15844,12728
12468,12531,12674,12691,12732,12530,12427,12483,12472,13520,13817
12471,13596,14644,12598,12739,12481,15251,13016,12621,12560,14092
12472,12474,12626,13520,12662,12613,13178,12468,12682,12637,12530
12473,12626,12360,12472,12379,12530,12628,12625,12465,16386,12367
12474,12472,12626,12637,13520,17365,12662,12553,12691,12518,12490
12475,13520,12673,12526,18040,12438,14075,12478,16531,12579,12553
12476,15865,12816,16434,15694,18161,12750,15545,16705,16712,12584
12477,12647,14527,12357,14180,17567,12816,12668,15808,12552,13491
12478,12452,12689,12616,12691,12475,14768,12491,14037,12553,12457
12479,12548,12642,12738,12676,12694,12436,12364,12414,12437,12545
12480,12379,12394,12472,12700,12579,12627,12683,12626,12490,12635
12481,12560,12631,12471,12397,12457,15205,12708,12750,15251,12680
12483,12691,12468,12689,12531,12380,13178,12393,12478,13109,12645
12484,16629,14100,14171,12437,16871,15518,15057,15241,16014,12364
12488,12729,12478,17960,12489,12458,12660,13318,12674,12814,12618
12489,12728,12817,12735,12679,12618,12660,12654,12691,12740,12616
12490,12670,12379,15810,13520,12683,12689,12682,12626,12724,12637
12491,12689,12691,12616,12492,12427,13816,12457,12638,12478,12618
12492,12491,12367,12592,15158,13816,12702,12361,12498,12689,18249
12493,13330,14489,13791,12373,15417,17031,12785,17454,14389,16403
12494,16745,15256,12762,13819,14680,12724,16778,12380,12463,12373
12497,12797,12891,12510,13503,12791,13450,16967,13414,16754,13419
12498,13008,12592,12373,12491,13470,12458,15918,12618,12492,12793
12500,12659,14819,12523,12401,13493,17384,15108,16468,12615,15854
12501,15596,12413,12651,12520,13505,12679,12354,12740,12512,12732
12502,15658,18144,13932,17690,12816,12572,12401,14819,12481,12431
12503,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12504,12604,12442,12736,12513,12548,12589,12527,16692,12639,12817
12505,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12506,14411,13519,13368,16124,15236,16766,17646,13043,15762,13341
12507,12697,15888,12589,12548,12619,12603,12738,12644,12639,12588
12508,14140,16504,12938,16378,14529,15168,17760,18022,16372,15986
12509,17079,18019,16323,17923,12414,17723,15171,14828,15523,16692
12510,17947,12497,12877,12645,17111,12478,13318,14790,16582,12553
12512,12428,16955,12501,13908,14191,12967,14632,14245,17360,14130
12513,12373,15810,12826,12504,13819,17323,12580,12676,13425,12379
12514,12652,12592,17936,12758,12361,13131,15448,14082,15457,17929
12515,12736,12401,17408,12603,12528,18146,12588,13826,12545,12738
12516,14887,13283,12587,12715,13461,13070,16272,17153,13689,13242
12517,13815,12490,18040,12822,18283,15810,16401,12662,12380,12715
12518,12390,12674,12680,12490,12616,12583,14262,12372,12670,12732
12519,12665,12522,12679,12623,12732,12691,12379,12517,12447,12490
12520,12501,12354,13505,12691,12437,12550,12583,12390,12609,12740
12521,12587,16189,12623,12375,13689,17594,16620,12447,14566,16952
12522,12519,12638,12641,12814,12817,14890,13817,12491,12618,12732
12523,16560,12500,13493,14819,16556,12852,12410,17453,17668,13880
12524,12468,12710,12361,12645,12670,12609,12501,12593,17685,12679
12526,12375,12379,12373,12553,12413,18040,12475,12662,12724,12360
12527,12738,12504,12736,12604,12513,15393,12509,12442,12515,12436
12528,12407,14560,12356,12794,15224,13826,12515,12915,17718,17398
12530,12380,13815,13520,12375,12373,12553,15810,12689,12724,13178
12531,12814,12468,13817,12691,12729,12430,12649,18040,12427,12689
12532,12791,14894,15054,14550,16362,12441,15611,16836,17383,13127
12534,12453,12550,13813,13265,12468,12504,13045,16653,13382,16621
12535,14284,17163,16992,17197,14524,14371,12808,17877,17490,17894
12536,12766,12415,13471,15258,13592,13777,12397,17596,12797,17272
12538,15483,16236,18223,12598,17320,16593,15562,13270,17809,15028
12539,12417,15480,14644,17886,12818,18136,17920,13853,12739,15827
12540,14299,12429,15764,13159,16556,16222,16240,12610,15786,14291
12541,12676,12604,13509,17083,15738,15810,12442,16969,12599,12504
12544,16793,13040,13532,15754,17235,16236,16126,14703,12441,18261
12545,12515,12736,12548,15327,12528,12619,12738,17408,12504,12479
12546,12544,13155,17365,14862,15948,17014,17960,12571,14087,18261
12547,12414,12571,13509,12442,12548,12676,15671,18032,12643,12437
12548,12604,12736,12738,12479,12348,15327,12507,12442,15280,12852
12550,12515,12600,12448,12425,12561,12361,12384,14770,12701,12534
12551,16272,13070,15178,12990,16997,15032,14887,14566,16986,18177
12552,12349,17536,12817,12584,16792,17053,12866,12504,12464,17732
12553,12413,12526,12562,13178,13520,12530,12360,12375,12689,12373
12556,14247,13291,14501,13888,16780,16315,14502,17790,13065,18109
12557,15970,17242,17083,17179,12648,15577,15810,15256,12732,13158
12558,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12559,12703,12616,12427,12623,12408,12716,12657,12518,12609,12670
12560,12481,12457,12812,12749,14292,12397,15122,12885,12680,12809
12561,12550,12453,12361,12680,12812,16581,12560,12367,12670,14082
12562,12689,12700,12656,12724,12402,12457,12553,12408,12373,12615
12564,12361,12372,12593,12592,12447,12458,12379,12367,12616,12457
12565,15297,12426,14059,18099,17486,12386,14339,18129,13008,12447
12566,12665,12407,13898,13229,12680,12358,12528,12618,13003,12668
12567,12637,12700,12682,12553,12362,12689,12380,12562,12626,12724
12569,12528,14560,12668,12358,17398,12356,12407,13826,12515,17180
12571,12364,12740,12442,13509,12437,12752,12547,12676,14889,16951
12572,12795,12640,12603,14951,15373,13932,12384,15909,13244,15944
12573,16232,13310,18009,16721,16769,14905,17923,16323,17079,16146
12574,12855,15885,12444,12603,16217,17027,12809,14582,13037,12665
12576,14220,14741,16353,13841,12581,14511,13435,18248,16308,14976
12577,12847,17806,13094,16836,14499,15659,17397,16018,18034,17524
12578,13492,12406,15625,16873,12615,17144,13471,17091,17819,12480
12579,12679,13520,12721,12394,12740,12732,12475,12457,12729,12379
12580,14447,12373,12422,12808,17323,12526,16722,12513,12413,13330
12581,12722,15725,13841,12492,12532,12559,13848,12522,14511,12574
12582,12648,12732,15596,14256,12664,12709,13509,12866,12383,12504
12583,12674,12518,12490,12437,12710,12390,12598,12616,12691,12740
12584,12464,15258,16897,12816,16926,14180,16072,13538,14823,13043
12585,14005,12652,15057,15695,16222,12548,14105,12507,14770,14560
12586,12837,14548,14987,18058,16193,13831,17616,13561,16315,16643
12587,14566,12375,16997,13070,13242,16986,14477,12990,14887,13228
12588,12603,12401,17408,12515,16954,14148,12736,12507,13826,15327
12589,12604,12507,12528,17668,14560,12694,17398,12738,15014,12504
12590,12693,12647,14570,12592,12494,13341,12670,12731,12645,16745
12591,12548,15327,12736,12545,12515,12356,12358,12588,14560,12738
12592,12361,12593,12373,12793,12724,13470,12645,17791,17353,12564
12593,12592,12361,12793,12724,17936,17353,16680,14054,13470,12564
12594,12373,12715,12623,12408,17063,12526,12553,12811,18040,12689
12596,12755,12426,15603,12816,18133,12464,16647,13804,12367,12429
12597,17097,13817,12722,14242,12704,14732,16587,14747,12352,16509
12598,12616,12700,12724,14082,12674,12670,12583,15872,12372,12645
12599,12676,13509,12643,12740,15738,12726,16951,12383,12922,12364
12600,12373,12402,18240,12550,16351,12715,12553,12562,14145,12704
12601,12789,13731,17691,16217,17742,12817,13120,13023,15585,12550
12602,17824,13390,17206,15561,15175,15028,16233,17509,17350,13876
12603,12401,17331,16144,12588,17408,12445,12814,12515,14199,13006
12604,12548,12589,12504,13930,13247,13826,12736,14466,15261,12852
12605,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12607,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12609,12361,13990,12592,12520,12645,12524,13811,12756,12616,12559
12610,17716,17728,12838,16763,13592,18222,14005,14154,15416,12544
12611,12478,16070,12437,13639,15877,15637,12678,12676,14539,12436
12612,17985,17449,15069,12704,14649,16385,17593,13551,17867,12988
12613,12678,12472,12627,12645,12691,12710,12380,12633,12826,13520
12614,14470,16594,12371,15165,17144,12702,12668,15863,12654,14978
12615,12562,12714,12553,12478,12689,12631,12797,12682,12526,12731
12616,14082,12372,12680,12361,12598,12438,12491,12447,12457,13621
12617,17206,14201,17603,16506,14396,16017,15754,17122,15597,12919
12618,14768,12489,18040,12814,12491,12372,12667,12817,12458,12654
12619,12738,12507,15327,12548,12694,14050,12545,12589,12642,13812
12620,12379,15970,13520,12714,17871,12732,12447,12826,12478,12866
12621,16767,12562,15527,15382,12705,12553,12700,12362,12682,12645
12622,12603,12401,12814,12445,12817,18040,12588,15793,12507,12427
12623,12715,12447,12373,12379,12375,12587,12633,13520,12408,12689
12624,12367,12618,12405,12679,12603,12372,12579,13349,12492,12616
12625,13300,12683,12457,12437,12390,13504,12759,18281,12520,16321
12626,12362,12360,12472,12490,12379,12627,12474,12685,12562,13520
12627,12626,12380,12714,12613,13178,12637,12579,12715,12379,13815
12628,16070,12673,12890,12504,12453,12660,12473,12436,17562,12676
12630,13524,12736,13153,12588,12445,12358,12638,17408,17714,12734
12631,12708,12394,17724,12680,12691,12457,12732,12615,12814,12604
12633,12623,12451,12447,12715,12379,12490,12613,13520,12373,12375
12635,12644,12507,12480,13817,12463,12691,12566,12471,12680,13812
12637,12689,12682,12700,12457,12714,12490,12567,12474,12362,12413
12638,12522,12491,12641,12814,12736,12686,12630,12445,15814,18249
12639,12507,12504,12728,12361,13328,12379,17994,15970,12548,12649
12640,15373,17453,12464,12572,13932,15554,12795,15658,15865,17396
12641,12464,12817,12738,12660,12736,12522,13821,12504,12515,12638
12642,12479,12694,12604,12548,12589,12442,12619,12507,12504,12738
12643,12676,17628,12414,12599,17152,12922,16698,12710,16969,12740
12644,12507,12697,18242,17620,12381,13038,16498,13930,15261,12589
12645,12670,12361,12399,12592,12379,13520,12724,12526,12490,12372
12646,17083,16053,15738,16793,12648,13509,17668,12557,12394,14338
12647,12693,12590,12715,12477,13812,12678,15503,12393,15947,12613
12648,17083,12732,12557,12403,12582,13243,13509,12679,14632,12664
12649,12691,12531,13817,12814,12437,12674,12639,12654,12680,12583
12650,12593,15607,17935,12367,12492,12509,12449,12361,12802,12519
12651,13239,12501,13130,12917,17877,14145,13229,18240,13813,12668
12652,12762,15342,12514,14620,12598,12585,17486,12350,15520,15006
12653,17097,12457,12463,12410,12603,13816,12690,17396,12769,12637
12654,12679,12489,12814,12361,18249,16411,12618,12817,12579,12458
12656,12457,12689,12562,12408,12493,18040,12379,12361,16393,12637
12657,15304,13260,17886,17883,13759,15885,15646,16317,14853,15813
12658,13932,12515,12545,13767,17396,12738,17941,12736,14155,12718
12659,13525,12814,12603,12504,15153,13493,12665,13436,12445,12500
12660,12489,12817,13810,12641,13934,12729,12488,12639,12588,12390
12662,13520,13815,13178,12526,12360,17238,12623,12472,12626,18040
12664,12403,12732,12679,13520,12375,15970,12691,12648,12504,12582
12665,18220,13003,12358,12603,12519,12814,17947,12566,13898,16692
12666,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12667,12618,12588,12603,12604,15799,13812,12736,14768,12817,13006
12668,12569,12528,12407,17189,12349,15596,12356,12794,12566,13239
12669,12379,12423,12447,12490,12678,12425,12361,12408,14105,14256
12670,12379,12490,12645,12724,12361,13131,12447,14082,12598,12518
12672,12413,12358,12564,13813,13810,13003,12866,12384,12618,12447
12673,12475,12384,18040,12530,12414,14520,12375,12587,18123,12526
12674,12680,12583,12691,12518,12377,12390,12468,12700,12598,12724
12676,12414,12599,12922,12643,12364,16969,13211,17152,14586,13509
12678,12613,12399,12490,12398,14057,15521,12685,12669,12645,12447
12679,12732,12579,12691,13520,12740,12394,12648,12654,12489,12354
12680,12616,12674,12361,12394,12438,12518,12689,12691,12397,12390
12681,12700,12637,12705,12682,12598,16186,15382,12517,12377,12468
12682,12637,12490,12724,12413,12656,12567,12472,12645,12670,12457
12683,12490,12625,12437,12759,12474,12726,12662,14889,12364,12472
12684,12710,16042,13743,14291,16951,12399,17650,17552,15544,12731
12685,12626,13812,12678,12562,12876,12360,12613,12457,12656,12397
12686,12616,12797,13483,12754,18235,12504,12726,12372,13095,12390
12688,12354,12431,13583,16723,12631,12520,12656,12394,12481,14732
12689,12562,13520,12724,12491,12656,12373,12700,12457,12408,12637
12690,14039,13260,12603,15909,12814,15885,12593,12795,12790,14853
12691,12732,12679,12740,12710,12491,12390,12452,13520,12616,12674
12693,12590,12647,14735,12811,17462,12580,12784,17738,12656,12785
12694,12726,12642,12364,12604,12589,12548,12479,12619,12507,12504
12695,13538,14434,14589,14628,12823,14795,13893,18104,18129,15028
12697,12507,12644,15975,16766,12981,12738,13038,12436,16498,12812
12700,12562,12689,12598,12408,12637,12724,16393,12457,12674,12451
12701,12397,12398,12361,13817,18262,12739,12507,12812,12645,12550
12702,15758,13323,14578,17163,14371,14608,13298,15180,13017,18259
12703,12623,12447,13908,12559,12379,12648,12732,12662,12791,12716
12704,12375,12600,12447,14658,12587,12553,12530,16456,12384,18040
12705,13178,12681,12431,12621,12637,17686,13871,13815,12472,12380
12707,13707,12999,17306,16349,16957,18085,14057,17972,16270,17906
12708,12631,12394,12732,12560,12680,12709,15258,12464,12582,12481
12709,12967,13381,12648,12446,12582,14875,16889,14256,12410,14130
12710,12740,12691,15810,12390,12643,15544,17791,12684,12616,14889
12712,12816,18240,14204,17361,15482,17850,12624,13841,13811,13767
12713,13520,12726,15521,12390,13243,12490,12504,12732,13456,12403
12714,12637,12615,12627,12379,12620,12472,12413,12562,13178,12626
12715,12587,13283,13461,12516,12373,12375,12551,17031,17153,14887
12716,12740,17877,12732,12599,12691,12679,12364,12583,12703,12379
12717,17486,18202,12789,17040,15395,12601,16173,12444,15585,16133
12718,12548,12515,12401,12790,15885,18146,13759,14853,17396,15553
12719,15028,15568,17824,12723,17306,15707,14494,18235,12640,16123
12720,12526,16401,17462,12715,12422,13817,15341,12517,12425,16080
12721,12579,12490,12679,13520,12710,12689,12562,13178,12360,12740
12722,14561,12581,17731,14198,16617,12597,15103,14518,15385,12441
12723,14098,15568,15872,12719,17886,17006,12936,15651,16104,12452
12724,12689,12373,12380,12379,12375,12593,13520,12562,16393,12408
12725,14601,13682,12445,17958,17714,16887,16438,14167,12371,14764
12726,12694,12599,12364,16951,12399,12713,12686,12830,17863,13483
12727,16951,12437,12414,12922,14050,12676,12479,14631,12710,12399
12728,12489,12679,12377,12639,12691,12403,12732,12664,12740,12603
12729,12390,12438,12679,12616,12732,12475,12579,12531,12488,12710
12731,12670,12798,12797,12684,12645,12790,12615,13107,12401,14082
12732,12679,12648,12691,12394,12403,13520,12557,17083,12664,12447
12733,17718,15121,15888,12356,14199,14149,12528,16402,12794,15695
12734,12736,13948,17939,18050,14803,14643,12515,12545,17408,13239
12735,12489,12740,13092,12679,16483,12645,14212,12729,12553,13131
12736,12734,12515,12548,12738,12545,12504,12604,12603,13493,17939
12738,12548,12736,12515,12619,12479,13027,12507,13016,12604,12436
12739,12738,12507,12394,12603,17193,12817,12397,12453,12412,14720
12740,12691,12710,12679,12599,12732,12442,16763,12643,12716,12571
12743,13544,15322,16147,13941,15437,16041,15800,14173,14416,15198
12744,14431,13993,17303,16168,14227,13650,16927,16627,15252,16764
12747,12945,16456,17115,17114,13562,16782,13238,14622,16997,13070
12748,14911,14096,17841,14606,17571,13576,13694,17259,17341,15494
12749,15258,12560,18265,13871,14895,13908,14842,12709,17648,15345
12750,13730,13811,16171,13082,15554,14855,14875,16320,12656,12481
12752,18178,12571,12710,12740,12939,12390,15503,14465,17083,15810
12753,15347,12567,13685,14056,12792,12415,16678,17703,18066,12637
12754,12830,16668,13483,17824,15386,13743,16966,13108,12686,16026
12755,12361,13817,17227,13262,12596,12468,12812,12426,12703,13816
12756,16038,12686,12802,12609,17734,16653,12901,16026,15630,12374
12757,12808,13815,18283,12785,15950,12526,17031,14188,16929,18177
12758,13791,17031,14489,14888,12785,14887,15203,17229,12811,16748
12759,12710,12394,12437,14050,12390,12397,12399,12604,13211,12683
12762,12652,15520,12494,12548,16778,12429,15592,17507,13381,16356
12763,18080,15333,14537,12792,14421,14885,15396,14457,12571,12718
12764,17634,14504,16398,17507,13781,17838,14584,13831,14180,14823
12766,13471,12757,15136,18145,12615,16929,12758,12413,17091,15367
12769,18144,12816,18151,15149,13663,13811,17701,17991,12401,14619
12770,15433,13470,17353,12557,12735,14981,17118,15970,16659,14587
12772,12541,12866,12379,12403,12465,12479,12447,15857,13379,13594
12775,14174,16449,14561,14247,15046,17123,14487,13950,14064,14666
12778,12528,12407,12348,14789,14050,12356,12547,13027,12548,14586
12779,13239,12462,13711,17117,12353,15224,14560,16398,14656,13153
12781,12508,16546,16378,12544,12519,12581,16063,12475,14761,15414
12782,14212,12792,16625,13381,16834,13014,13727,13467,13952,12615
12783,14738,17357,16926,13699,18215,15565,14216,14976,13515,13464
12784,12453,12817,12809,12785,15136,12808,13868,12693,12757,16706
12785,12808,13791,13228,16986,12587,17031,12373,12422,14566,12811
12787,13522,13461,17732,13283,12702,12603,18040,12587,15721,13812
12789,18068,12601,12717,12374,12603,12445,17887,18037,17486,12464
12790,15885,15206,17831,13260,12879,15304,12718,12603,13144,12690
12791,14295,14821,16048,12702,15350,12532,14813,13917,12654,12814
12792,13493,12686,12548,13934,12763,12591,17431,16378,12818,12797
12793,17031,12593,12592,17353,13791,18177,12715,13470,12373,13686
12794,12528,15224,12407,12356,14301,12863,14560,17718,14878,17180
12795,12401,12603,13898,12384,12814,12572,12690,15304,15658,13260
12797,13414,12497,14836,14752,12686,15277,14145,16966,13503,13743
12798,13743,13483,16668,13108,17824,12731,16097,16966,14929,14080
12802,12347,12690,13324,12650,12448,12756,12790,17444,12603,14105
12808,12785,14273,12422,12757,17031,15032,12811,13643,12580,14364
12809,12603,16114,15827,17668,15885,12417,15108,12784,12644,12401
12811,12402,12785,15032,12715,16351,12493,12808,17031,12587,12373
12812,17227,15236,12981,12507,12560,16766,12697,17501,12506,12701
12814,12603,12445,12665,12622,12531,15793,12817,12659,12654,12691
12815,12816,12401,17536,13841,13848,17765,16308,12384,13302,17984
12816,12464,12769,13043,12584,12815,13811,15149,13023,16897,16509
12817,12489,12603,12814,12641,12660,12622,12736,12445,12504,12507
12818,12464,12754,12739,12507,12885,18136,12640,12817,14644,12738
12820,16101,15254,14427,16164,14550,14780,17221,13844,17520,16836
12821,15986,14196,12904,13570,14271,13184,14174,17775,14064,16412
12822,14112,15417,15117,13355,17594,13979,12373,14385,16305,16875
12823,14589,14795,13484,13538,17217,17351,15705,13261,13508,17374
12824,16836,17317,15255,14538,15516,15621,14820,15739,14585,17739
12826,18177,12373,15810,12513,14680,17068,13178,15950,17031,14112
12827,15604,15140,13247,16758,16830,15261,16020,17030,12815,13356
12828,17572,15224,12374,15881,12421,14789,17712,18006,14138,12794
12829,16190,15699,13272,17343,17279,13187,13948,14501,15569,17742
12830,16966,12754,15386,18013,13483,13108,17824,13743,13621,13450
12831,14174,16610,16213,16473,14242,13496,13822,15733,16119,16266
12832,17733,13984,14673,16613,15793,14712,13500,17411,14073,17947
12833,15262,16587,14633,12956,15694,14536,13161,15071,15426,15211
12834,13699,16614,15565,16529,15535,15093,14600,14918,14795,13434
12836,17114,15122,17732,15394,13634,13065,15093,16497,14755,14952
12837,17114,16792,13561,13809,16315,18074,12940,12956,18106,13929
12838,12856,12872,17640,15880,17623,17884,12610,14885,14673,15312
12839,15298,13481,14482,17082,14110,18223,17454,13487,17153,13577
12840,15032,16351,18177,15417,17031,16456,16748,14883,18149,14489
12841,12971,12922,15975,17519,16655,16321,17152,13211,17423,16774
12842,15239,15691,17245,13639,15129,13904,13373,15681,17855,14550
12843,17115,16906,17454,17229,15508,12945,15917,16180,15674,15394
12844,14704,18170,15722,12872,14504,15262,13161,17124,16374,16208
12845,14130,17356,15738,15503,13280,12728,12489,15332,13410,15208
12847,15458,12577,17806,13991,14801,13533,16629,13790,18035,17385
12849,14915,16159,14393,16494,17362,17431,18093,15716,13760,14946
12851,15397,17765,14267,12855,13043,17649,17415,14411,14292,16179
12852,17398,14466,18185,18217,15327,12515,12407,12604,12548,13247
12853,15122,17621,18192,16115,17115,14292,17672,13021,14227,15683
12854,13803,16494,14012,16059,13593,16448,13833,17749,14462,14064
12855,15603,14437,17620,12574,15067,16124,12851,13043,16473,16217
12856,12838,17590,16362,15965,12822,13558,16440,16065,14112,14498
12857,17450,15624,16115,14823,12584,12942,17634,14162,14217,16222
12863,12353,14714,12420,15224,17718,17186,13135,18220,12794,13533
12864,12908,16881,18184,14865,17414,16377,17187,16093,14000,13207
12865,15276,15103,14852,13614,17728,13881,16950,14277,15258,18215
12866,12447,12379,14130,12354,12732,12772,12465,17083,12582,13520
12867,17160,16186,18283,12928,16172,17323,17254,16395,15529,16945
12868,15234,17406,14105,17580,13049,16721,17040,14247,15236,15497
12870,14320,14329,14315,14305,14312,14311,14309,14307,14306,18287
12871,17616,14555,13716,14548,14987,16034,13524,18220,18058,13094
12872,12844,18212,14504,13497,17230,16893,17164,12838,16791,16116
12873,15070,14473,16325,16765,14737,15473,17217,15049,16698,18080
