,Top1_rec,Top2_rec,Top3_rec,Top4_rec,Top5_rec,Top6_rec,Top7_rec,Top8_rec,Top9_rec,Top10_rec
16161G,81952V,71496A,71406C,75011,84402B,84206A,90141E,90141D,90076,20678
16161M,21486,84912A,84849B,84968E,84919,22276,84912B,71279,21904,22278
16161P,16156S,21498,23231,22986,21499,21500,22704,23233,22985,22045
16161U,21495,21497,22045,22048,22985,23230,22707,23232,16156S,22046
16162L,16162M,84086B,47593A,22044,84249A,20655,22905,85106,84750B,20774
16162M,16162L,84086B,47593A,22044,21126,85106,20669,84249A,21864,20655
16168M,90018B,21028,21030,21061,21721,21027,21576,22436,22821,21722
16169E,22959,23354,23351,21497,21498,23437,23375,22986,23547,21499
16169K,84226,90154,47369B,90141A,90141C,84569C,90101,90103,79161A,90141E
16169M,16156S,21500,72801D,16161P,21499,90018C,22048,21495,22045,22985
16169N,84360,22486,22051,84711A,20769,20775,22203,22176,84508B,84534B
16169P,84569C,90101,90103,21827,90141E,90141D,90076,20678,90149,90083
16202A,21018,81950V,16202E,84629,84686,35954,21187,84535A,79063D,81950B
16202B,90125D,20827,84387A,90125C,81953P,79144C,79063D,75178,81950B,79063C
16202E,84535A,23003,21018,16202A,81950V,82616B,22817,81950B,22819,22985
16206B,90103,90076,90141D,90141E,20678,90101,84569C,90141C,90141A,90205C
16207A,37491D,37491C,37491B,84539,90072,21841,90145,84508C,37379A,20694
16207B,21370,84569C,90205C,20663,90101,79161A,21827,90103,DOT,20910
16216,84402B,16052,16218,20616,16236,81952V,90208,90059F,84206A,16238
16218,16216,16052,22608,16054,81952V,22609,21088,16219,22610,84660A
16219,16048,81952V,16218,21650,84857C,84509E,84206A,16054,85131B,16010
16225,21650,21678,84559A,35443,23501,85136C,16237,16235,84559B,47310M
16235,16045,16011,16238,16054,16237,16236,16218,16216,21724,22324
16236,16238,16216,16237,21221,21724,21722,16054,20662,16218,21721
16237,16236,16011,16235,16238,22610,21724,16219,10120,22608,21650
16238,16236,16011,16235,16216,22422,21676,21724,21675,21222,20617
16244B,21720,84033,21719,21725,21676,21215,21679,21675,21793,21724
16248B,20893,21026,84984B,84984A,85008,22306,35968,21372,84531A,16052
16254,84226,72132,37479P,84462,17007B,72812,90059C,20655,DOT,90101
16258A,90086,21676,20757,21675,47369B,21827,79161A,22438,20670,90083
16259,81952V,16054,16045,16218,81952B,35818B,21641,21096,21374,16216
17001,17014A,72134,17096,17084P,72232,72130,17013D,85230G,85230E,17012C
17003,15034,90214Y,21647,85225,16237,90039D,21034,21642,16015,47503H
17007B,84569C,90103,90101,16206B,90141D,90141E,90076,20678,90059C,21827
17011F,84877A,23661,23660,17096,17012B,84875D,22043,17012D,23191,17012C
17012A,17012B,17012F,17136A,17012D,17012E,17012C,72232,85160B,81952V,72709
17012B,17012A,17012D,17012F,17012C,17136A,72232,17012E,79062D,85160B,72225C
17012C,17012F,17012D,17012B,17012A,17014A,72232,17013D,84732B,84732D,79062D
17012D,17012F,17012B,17012C,17012A,17091J,17136A,17012E,72232,84877B,35651
17012E,47369B,90141A,90141C,90141D,90141E,20678,90076,90083,90101,90103
17012F,17012D,17012C,17012B,17012A,72232,17136A,17012E,17091J,84877B,47348A
17013D,17096,17012C,17038,21198,17001,21199,17014A,17012B,17021,72232
17014A,17001,72134,17012C,72232,17084P,17096,17012F,17012B,17012D,17084R
17021,72232,17084J,22374,17038,47343A,35648,17084A,21792,17084N,17084P
17028J,84795C,21627,17084J,17084A,17084P,15039,84795B,21167,21922,21630
17038,17013D,17096,35637C,72232,17021,72134,79062D,17001,17091J,21520
17084A,17084J,21167,17084P,17084N,17028J,84795C,84746,84732D,84865,84732B
17084J,17084A,17084P,84795C,17028J,84732D,21167,84732B,84746,84865,79336
17084N,17084P,21167,18094C,17084A,79063D,79063C,37489A,17084R,17084J,85230G
17084P,17084N,17084J,17084A,21167,17001,17028J,84795C,17014A,18094C,84732B
17084R,17084N,20857,17012E,17090A,20868,17136A,17014A,17012B,17012D,21228
17090A,23692,84849A,17084R,21003,20856,20867,20869,21132,84707B,23292
17090D,37461,22323,84499,90214N,21416,90214V,90214R,21357,90214M,21661
17091A,17091J,85028L,37413,85030,21038,90210A,72801G,72800E,17096,23453
17091J,17012D,72130,17012F,17091A,37482P,72232,22097,37327,21845,21618
17096,17001,17013D,17014A,17038,17011F,35909B,72134,17084R,84877A,22125
17107D,85200,20669,37479P,84226,84882,21445,35815P,72132,85131D,21442
17109D,84387A,20827,90125D,90125C,81953P,79144C,16202B,84575A,84388,75178
17129F,84743C,20964,84227,90141A,90141C,22407,84226,90141D,90141E,90076
17136A,17012A,35968,85160B,81952V,35818P,17012B,90087,35818B,72709,72232
17164B,17165D,44091A,37379A,90082B,90081C,90082A,35400,21644,90200D,90196B
17165D,17164B,90196B,22107,21032,20658,90195B,90081C,90195A,20761,90082B
17174,35443,20659,72369A,20910,90083,84743C,20964,84227,90101,90208
17191A,85173,72349B,85038,85170D,85036C,72351A,22807,72122,85040A,72127
18007,17003,20667,85031C,21365,22157,90058A,22983,22154,23566,90058B
18094C,72709,84251G,75011,84685,72780,21367,22104,21336,84206A,17084N
18097A,90195B,90082D,90051,90063A,90206C,90195A,90063B,90200B,90065A,90196A
18097C,20769,90154,90166,20735,20767,18098C,85129B,21367,85170D,90119
18098C,35965,20617,20655,21199,21188,85129D,21827,84226,20652,20659
20615,20652,20616,35818B,82616C,20617,20654,85071A,20653,84875B,21866
20616,35818B,20910,90141A,90141C,90141E,90141D,90076,20678,16206B,90101
20617,20618,20654,20655,20659,47369B,84226,20663,72369A,16169P,71406C
20618,20617,20655,20654,20659,84226,47369B,71406C,20663,72369A,20964
20619,20657,20622,20663,84402B,21827,90083,DOT,84569C,21370,84743C
20622,20619,20618,20670,20617,21827,84402B,20655,72369A,84569C,79161A
20652,20615,35818B,20654,20655,20616,20659,71496A,20657,20617,20910
20653,35818B,20616,35913B,85095,20654,35818P,90141C,90141A,16010,20652
20654,20655,20617,20659,20618,20657,20652,20670,75178,84226,90141A
20655,20659,84226,71406C,20618,46138B,16206B,90141C,90141A,84743C,84227
20657,20619,20659,20655,20661,20654,16169P,90083,20670,21827,DOT
20658,20654,20657,20655,21867,20659,20652,20661,21866,20894,20669
20659,20655,71406C,DOT,21827,84226,90083,85131B,90101,90103,90141D
20661,DOT,85131B,90083,90149,84569C,90101,90103,90141E,90141D,90076
20662,DOT,21827,85131B,90083,90103,90101,90141D,90141E,20678,90076
20663,DOT,90083,84569C,90103,90101,85131B,90141D,90141E,20678,90076
20664,35649,21637,21738,84708B,84870B,20936,20696,20941,21739,84709B
20665,21039,84510A,20910,22308,22279,20652,21881,21880,20661,46000U
20666,90214I,90214S,90214L,90214D,90214C,90214H,90214G,90214A,90214J,90214M
20667,85031C,20910,22278,35591T,22277,23368,23367,23389,15058A,22474
20668,21464,21463,72801G,18094C,21373,21371,47563A,21264,85107,72709
20669,21445,20655,84989A,20670,72132,20663,21910,85129D,37479P,21827
20670,21827,DOT,90083,84569C,90103,90101,20663,90141D,90141E,90076
20671,90165B,79190D,79190A,79190B,22157,79062D,23579,23003,35966,20966
20674,21245,20675,20677,20676,21244,21238,21243,21240,21239,21242
20675,20677,21244,20674,21240,20676,21243,21238,21245,21239,21242
20676,20675,21238,20674,20677,21242,21239,21240,21244,21243,21245
20677,20675,21243,20674,21244,20676,21239,21245,21240,21238,21242
20678,90141E,90076,20678,90103,90101,84569C,90141C,90141A,90205C,16206B
20679,15056BL,15056P,15056N,85014A,85014B,15060B,15044B,51008,22903,22134
20681,20682,22145,21011,21864,21561,20684,22202,21866,23478,84989A
20682,20686,20684,20681,22891,21159,21156,21425,85014A,20622,85014B
20684,20686,21709,21707,20682,21679,20670,22435,22440,20658,22437
20685,22692,48188,48187,22690,23283,48116,48184,48185,48173C,23284
20686,20684,20682,21707,23139,21064,20615,21065,84461,20617,21420
20694,37491B,37491C,84539,37491D,21028,16207A,84931B,22372,84508C,22375
20695,84548,20697,20698,20705,23379,20704,84660B,22897,21982,90170
20696,84226,20964,84743C,84227,90101,90076,90141E,90141D,20678,90205C
20697,20698,21841,21738,16207A,20695,37379A,23579,35809B,85096,20694
20698,20697,85096,21826,21738,23579,20695,22532,21841,21455,22744
20699,90038C,90038B,90040C,90120B,90198B,90040A,84497,90036D,20694,90152B
20700,20701,85131B,90205C,21372,84743C,84227,20964,90101,DOT,90083
20701,20700,21750,35933,22981,85071B,84519B,20694,84519A,85071A,22982
20702,85129D,35815P,22325,22320,21486,84912A,16206B,46000U,20964,84743C
20703,22354,22350,22352,22356,22344,22349,22348,22346,22345,POST
20704,20705,21579,90177D,21088,84509E,90087,21564,21788,20694,84931B
20705,20704,21579,90177D,84509E,20694,84931B,21088,84402B,21028,84206A
20707,90141B,16169P,90141A,90141C,90083,90016A,90101,84743C,20964,84227
20711,21929,22386,21033,20712,20713,23201,22385,47580,17129F,21504
20712,20713,22385,22663,21930,85099F,23200,20711,22386,21929,21976
20713,20712,21931,22385,23200,23199,21930,22663,23201,20711,85099C
20716,20717,37333,15058C,84313C,20718,21577,21033,22375,35924,21581
20717,20718,20716,20723,84661B,20719,22661,21763,84452,21934,22127
20718,20717,20724,20723,20719,20716,20752,22371,23204,22661,22374
20719,20723,23204,20724,22356,22355,22661,23205,20717,20718,85170C
20723,20724,20719,23204,22661,22356,22355,23205,20717,20718,16235
20724,20723,22356,20719,23204,22355,22661,23205,20718,20717,16218
20725,22384,20728,20727,22383,23206,20726,22382,23207,22662,23209
20726,22382,22383,20728,22662,20727,22384,20725,23207,23206,23208
20727,22384,20728,22383,20725,23207,20726,22382,22662,23206,23209
20728,22384,22383,20725,20727,20726,23207,22382,23206,22662,23208
20731,22353,85185D,21878,22309,22837,84519B,84828,84452,22643,23197
20733,22407,DOT,16206B,21827,84226,85131B,84743C,20964,84227,90083
20735,90214D,90214M,21846,90214J,21827,90214H,90214G,84743C,20964,84227
20748,21686,21849,21851,21850,21292,72800D,22104,21846,72369A,21147
20749,20750,21364,21428,21310,22600,21430,23476,90114,21623,22162
20750,20749,46000R,21452,22069,21430,23193,84617,21647,90003D,22171
20751,20752,20754,72132,79071B,21147,37479P,22124,21034,23183,20765
20752,20754,20751,37479P,22905,20910,16206B,22482,84673B,20663,21448
20754,20752,20751,21041,21042,21216,21531,21154,21218,22072,21155
20755,20761,20777,20767,20757,20765,20771,20764,20762,20756,20766
20756,20758,20755,20760,20759,20761,20764,20762,20765,20777,47369A
20757,21028,84226,90208,20755,21025,90083,90149,21827,20670,72132
20758,20759,20760,20756,20755,20764,20773,20777,20778,20761,21864
20759,20758,20760,20756,20778,20777,20764,20773,20755,20774,47591B
20760,20758,20759,20756,20755,20777,20761,21865,84032A,20774,21901
20761,20762,20765,20764,20766,20755,20767,20763,20770,20777,20771
20762,20765,20761,20764,20763,20766,20770,20755,20771,20768,90154
20763,20762,20765,20670,84226,90154,16169P,21827,84569C,16010,20707
20764,20765,20762,20761,20766,20770,20768,20777,20755,20763,20767
20765,20762,20764,20761,20766,20768,20763,20777,20770,20771,20767
20766,20765,20764,20761,20762,20763,20777,20771,20755,20770,84226
20767,20768,20770,20772,20769,20771,20761,20755,20765,20764,20773
20768,20767,20765,20769,20770,20764,20771,20761,20762,20657,84661B
20769,21827,20910,90083,84569C,20768,16169P,84226,90101,DOT,90103
20770,20764,20768,20767,20765,20771,20761,20769,20762,20777,20772
20771,20772,21827,20769,90083,90149,20670,DOT,16169P,90141C,90141A
20772,20771,20767,20769,84931B,20777,84086C,20755,20765,20770,20766
20773,20774,20657,21867,90032,20764,90082D,20767,90154,90016A,20775
20774,20773,90152A,20769,90149,84226,20663,90059C,90072,84569C,20775
20775,20777,20774,20773,20764,20765,20770,20755,20769,90177B,20762
20777,20755,20765,20764,20775,20766,20771,20772,20761,20770,20778
20778,21357,20777,21222,20773,21032,35004P,37461,22323,20764,84499
20780,84984B,84984A,20663,20781,20782,21370,21827,20619,21000,90208
20781,20782,20780,20663,84984B,84984A,20617,21147,20670,20619,22475
20782,20781,20780,21222,20622,20619,47594B,21678,20778,21065,22475
20785,90084,35650,90003B,85089,20782,84813,20941,22842,37476,21763
20793,22782,22503,22277,21756,20615,21257,85183A,22120,21755,72127
20794,71406C,47421,20910,20964,84743C,84227,46138B,90141E,90141D,90076
20795,84859B,90083,84569C,90101,90205C,DOT,90149,79161A,90103,21370
20796,90019B,90123B,23416,90160B,90160C,84874B,90129C,84859B,35649,22954
20798,21249,47421,21743,15058A,85018D,23345,84673B,21251,23346,22201
20801,20803,79030G,21318,21654,20826,21401,35810A,21402,37342,21398
20802,22778,21654,84827,85141,20803,22361,22362,21320,35809B,21124
20803,21318,84402B,20801,21402,85008,22884,21401,35818P,16052,90141A
20816,21622,85035C,72802C,72802A,85036C,21625,85035B,72802B,20622,23066
20818,85035B,85034A,85035C,85034B,20622,85034C,20816,20819,90184A,85035A
20819,90205A,20861,90149,90072,47341A,90101,84569C,90177D,21827,90083
20820,85107,16225,84625C,84625A,23481,21306,84993A,21000,22354,23046
20821,90059C,90059B,90205A,90083,90177D,20861,79161A,16010,85131B,84569C
20823,20826,84576,90125C,90125D,84387A,20827,81953P,79144C,84725,84575A
20826,20823,81953P,90125D,79144C,20827,84387A,90125C,16202B,84725,35818P
20827,20827,90125C,90125D,81953P,16202B,79144C,75178,84388,84575A,84549
20828,20829,75013B,21201,22450,22752,21284,22830,21865,22359,62018
20829,20828,72351B,72801G,22769,22830,22351,47421,20654,21417,72351A
20830,84226,90205C,85131D,22541,37468,90076,90141D,90141E,20678,90103
20831,20830,85160B,90059C,90149,84569C,20869,79161A,90103,90101,84617
20832,47348A,21367,21368,21374,72709,21163,35923,17136A,21372,20996
20835,20837,20836,78034B,20838,20840,20839,17136A,72709,21530,37340
20836,20839,20840,20837,72709,20835,20838,44228,84629,21372,46000U
20837,20835,20840,20836,20838,72709,85071C,78034B,35819B,23516,21629
20838,20840,20839,84206A,21402,90177D,90205C,21530,20836,21372,47348A
20839,20840,20838,20836,22340,21925,21927,23431,22161,90177D,72709
20840,20838,20839,20837,20836,90177D,84206A,90205C,22541,21332,72709
20845,20901,84789,84840,78034B,84715,84509C,22618,22209,21993,23103
20846,23137,90205A,85161,21460,20847,85095,72709,22335,21683,35598A
20847,20848,44242A,20846,21682,21683,21159,84865,21158,72815,85197
20848,72815,20847,21683,21682,21392,84746,21692,84760S,20846,21684
20851,78034B,37351,84631,84882,72815,22881,22360,20848,21530,84715
20854,90003D,21836,35965,20857,22862,90125A,21723,22435,22931,21355
20856,20867,20662,47369B,16206B,84673B,84226,20869,90141C,90141A,90076
20857,17084R,20854,20856,17090A,85230F,35471D,17084N,20868,17084P,17014A
20861,21827,84569C,90103,90101,90141D,90141E,90076,20678,90059C,90205C
20866,20867,90204,20910,71496A,71406C,85095,16010,21003,90205C,90059F
20867,22277,16206B,20910,21003,20856,71496A,35958,90101,90141E,90141D
20868,75011,20869,90059F,51014L,35818B,18094C,35818P,72709,51014A,20616
20869,90059C,84569C,90103,90101,90141E,90141D,90076,20678,79161A,90141C
20878,90148,85018D,90206C,90081C,90081A,90124C,85047,90184B,90195A,90196A
20886,21132,85038,22811,20774,85174,85114A,90059B,90059E,72349B,85172
20892,72799F,85035C,21287,35271S,72799E,72802B,72802C,85230B,85136A,21945
20893,35610B,35610C,16248B,17007B,84984B,84984A,90166,20663,37479P,DOT
20894,84743C,20964,84227,20910,16206B,71406C,90205C,90141C,90141A,90149
20897,20770,37444A,21354,21609,21360,85206A,21723,70006,22131,84279B
20898,85200,84854,85114A,84199,21041,84952B,22175,21328,22480,20696
20901,84840,84824,21040,20845,84858C,21694,78034B,22735,90065B,22587
20902,71406C,20663,84743C,20964,84227,44242B,90076,90141D,90141E,20678
20903,20902,20985,22219,90210D,22497,72819,22137,21221,22335,90098
20906,84854,37444B,37444A,79192A,84415B,21661,44089A,21171,21662,20655
20910,84743C,20964,84227,90101,90103,16206B,20678,90141D,90141E,90076
20914,22667,21218,21216,22072,21843,23424,21742,21539,21535,21533
20931,20932,20934,72225C,20893,21763,21285,20936,17007B,47341A,21827
20932,20931,20934,72225C,20933,20936,21285,85034B,21129,85170D,90141B
20933,21413,20932,35909B,21416,20931,85172,22811,84499,47591B,22323
20934,20931,20932,22806,85172,90141B,72225C,22811,17007B,85175,85173
20935,20670,90083,84743C,20964,84227,DOT,84569C,90101,90103,79161A
20936,22104,21064,72369A,21827,20670,90149,90083,DOT,84685,90184A
20941,22808,85200,85187,21455,22807,84459B,85194L,22267,20782,20622
20956,22589,22786,72812,22124,22102,85107,20846,21821,84659A,82616B
20957,22354,22350,22352,22356,22344,22349,22348,22346,22345,POST
20961,20963,20966,21949,85136A,22202,21945,21095,22214,84673B,21947
20963,20961,20966,22202,21949,84952A,85116,21095,22618,21945,21354
20964,84743C,84227,90103,90101,90141E,90141D,90076,20678,84569C,90141C
20966,20963,20961,90149,90211A,16010,47341A,90059C,90072,90059B,22107
20967,20969,20970,22566,22586,22569,22565,22570,22271,22274,22587
20969,20970,20967,22569,22566,22274,22570,22586,22271,22568,22587
20970,20969,20967,22569,22566,22274,22570,22271,22273,22586,22568
20971,20972,22147,22751,22750,22749,22274,22565,23127,23128,22566
20972,20971,22147,22565,22568,22274,22749,22566,22750,22751,22273
20973,20974,20975,23367,23368,23366,23365,21070,16045,20981,84536A
20974,20975,20973,23366,20983,16045,23367,20982,23368,20979,16259
20975,20974,20973,23366,23367,23368,20983,23365,16045,22759,84536A
20977,20978,20979,21581,21329,22129,21426,22395,20981,21576,21328
20978,20979,20977,23370,21329,21328,21327,20982,21425,23371,20983
20979,20978,20977,23370,20983,23371,22395,22759,20974,84535B,85088
20980,90103,90141A,90141C,90141E,90141D,90076,20678,84569C,16206B,90101
20981,20982,20983,21581,20977,20973,20978,16235,16048,20986,16218
20982,20981,20983,20978,21327,21425,20977,21064,20986,20974,20973
20983,20982,20981,20974,20979,20978,23365,20975,20977,79149B,21581
20984,10133,20996,16045,21650,35651,22608,21403,22092,22610,16219
20985,20986,21710,21032,20757,90208,21724,21832,21026,22137,22422
20986,79151B,21724,20985,16011,84989A,90208,21677,79149B,20670,84559A
20992,20996,22208,51014A,51014L,21642,82616C,51014C,22210,22209,16045
20996,20992,82616C,20616,22209,35818B,21158,22208,84857C,35923,21642
20997,72812,84673B,85131B,DOT,84569C,79161A,90205C,90103,90101,90083
20998,90141B,20707,22032,90016A,84531A,84531B,44242B,16010,85027L,21000
21000,21001,20663,90208,20780,90083,90119,37479P,20910,84226,90141B
21001,21000,90177B,84625A,90036D,84625C,20773,90036B,90001A,90190B,90190A
21002,84744,84821,85094,85087,22395,21880,84459A,21883,21424,84632
21003,90141A,90141C,90103,79161A,90141E,90141D,20678,90076,84569C,90101
21011,84952A,22202,21851,21849,85169B,20681,21293,20986,21846,84559A
21012,22792,85127,84882,22702,84661B,72598,85145,21657,21143,21318
21014,21015,72818,21823,21809,21824,21803,21802,35964,35954,72816
21015,21014,21824,21823,35964,90087,22579,22216,22336,85078,22577
21018,16202A,81950V,16202E,35954,84629,10124A,84535A,21807,84686,81950B
21025,21028,21027,84402B,21031,90083,21026,21032,DOT,85131C,85131B
21026,21027,21031,21025,21030,21032,16010,35968,84402B,35913B,79161A
21027,21028,21032,21025,21030,21031,21026,84402B,90018B,85095,85131C
21028,21027,21025,21030,90018B,84402B,21032,90083,90205C,85131C,71406C
21030,21032,21028,21027,21031,21026,21025,21220,90018B,21222,21221
21031,21032,21027,21025,21026,21030,85195,21028,35913B,21357,85095
21032,21030,21027,21031,21028,21025,21026,21357,35913B,21220,21222
21033,84519B,84857C,84452,35923,47310M,47593B,22936,22981,20711,85071B
21034,21591,21584,85214,20751,22082,M,20992,84536A,84032B,21826
21035,21154,21041,22895,21042,21155,22894,22480,21218,22354,47559B
21038,72798C,72821,21040,85216,84927D,21067,47593A,21358,17091A,22361
21039,22628,20665,22134,20661,21042,90087,22390,85213,21218,84509G
21040,20901,21038,23185,22640,21034,23395,22078,22735,22738,84840
21041,21035,21154,21042,21155,47559B,20754,47580,47351B,47567B,21447
21042,21041,22939,47559B,47567B,21154,22896,21157,21218,21035,20754
21043,21399,21530,21395,85144,21400,21394,21845,84596L,79030G,21401
21051,85189,72812,23498,47369B,90086,23561,20997,20663,23552,21189
21054,21056,21055,21784,21865,21867,90154,20657,20661,85168B,20619
21055,21056,21054,22320,20795,20657,20617,20702,20619,84584,21095
21056,21055,21054,21784,46776D,84584,20702,46776F,84968F,90211A,46000R
21058,21062,21059,21061,21060,22331,21063,22334,22332,22541,22954
21059,21060,21063,21062,21061,21058,22334,22332,22954,21224,22613
21060,21059,21063,21062,21061,21058,22334,21503,22332,84249A,21224
21061,21063,21060,21059,21062,21058,22334,22332,22613,21987,85131C
21062,21060,21063,21059,21058,21061,22334,21125,21126,21503,85131C
21063,21060,21059,21062,21061,21058,84249A,22334,37479P,22332,21126
21064,21065,20936,20781,20617,20780,20782,21425,47594B,22109,20686
21065,21064,84813,20617,22314,20781,84595E,51020B,84531A,21147,22095
21066,21067,90072,90149,21070,20663,16010,21068,21827,90083,84206A
21067,21066,21070,21069,21068,21071,85028L,22364,21171,85017C,22362
21068,21071,21070,21871,21874,21066,21069,22136,21067,21873,20702
21069,21071,21070,21068,21067,21066,35809B,21875,21871,21991,44091A
21070,21071,21068,21069,21066,21067,79066K,22049,20973,21196,37468
21071,21070,21069,21068,21871,21066,21067,21877,22035,21875,79066K
21078,22851,21080,22908,22613,22907,21096,21088,84520B,21094,35915B
21080,21078,21094,22908,21086,22613,21989,22907,22851,21987,21988
21084,21090,21088,21096,21635,16216,22613,35818B,16052,47348A,85094
21086,21094,21988,21987,21989,22333,22613,21080,22332,21088,21096
21087,21095,71496A,21195,84509E,21198,16206B,16169P,16048,21003,47570B
21088,21096,16054,16045,35818B,16218,81952V,21402,21084,21090,22613
21089,20794,84951A,37475,47421,47563A,21562,16169P,90059F,84461,47504H
21090,21084,21088,21096,22613,35818B,16216,22097,21635,16052,21208
21094,21086,21988,21987,21989,21080,22613,22333,22332,21088,21078
21095,21087,90076,90141D,90141E,20678,90103,90101,16206B,16169P,90141A
21096,21088,16054,21402,21090,81952V,16045,22613,21084,35818B,84509E
21098,21486,21592,22313,84558A,23101,72709,20655,20618,84509C,84951B
21100,21911,20618,21904,21161,21864,21463,20617,21464,21866,47503J
21106,21107,21111,21109,21110,21112,17136A,79157V,17191A,21108,20653
21107,21106,21110,21111,21112,21109,21108,17136A,79157V,20934,35818P
21108,21110,21107,21109,21106,21111,21112,21365,85230B,22608,22609
21109,21111,21110,21106,21107,21112,22062,21270,84509G,21108,72225C
21110,21111,21109,21112,21107,21106,17136A,21108,90125A,22608,72225C
21111,21110,21109,21106,21112,21107,17136A,90087,35651,17191A,72225C
21112,21111,21110,21107,21106,20616,90087,35818P,21109,17136A,84859B
21114,22318,23431,84913A,22602,23432,22445,85095,22277,85131D,17107D
21115,21411,21408,46000R,22512,21624,21441,21442,21116,22695,22135
21116,21408,21115,22508,21407,21934,21935,85114C,20700,21656,21411
21117,90205C,84206A,47348A,79161A,90141B,90059C,90101,84569C,21370,90177D
21121,21124,21122,21123,21126,21125,22315,21880,22613,21094,22333
21122,21124,21121,21123,21126,21125,20802,84375,20622,11001,22820
21123,21124,21122,21121,21126,21125,72369A,20655,71406C,84226,84461
21124,21122,21121,21123,21126,22613,21125,20802,22820,84821,20622
21125,21126,21199,21062,21058,21061,21123,21095,21063,72369A,21059
21126,21125,21123,21122,21063,21124,21062,21061,37479P,21199,21058
21128,21129,21132,21131,72812,20980,85131B,47369B,85023B,DOT,85213
21129,21128,85131B,DOT,90083,21132,84685,22541,21370,90149,20936
21131,21132,84685,84743C,20964,84227,84952B,85131B,90101,84569C,DOT
21132,21131,90059C,90083,DOT,90205C,84743C,20964,84227,84569C,90166
21135,85032C,85017B,22948,21375,22098,85071C,20831,84944,84707B,22604
21136,84879,23664,21135,21385,22288,90205A,21386,35265,21364,90059E
21137,22041,82001S,35810B,20794,84461,35912B,23123,21171,16054,23156
21143,35610A,85129B,35958,35817P,72709,35833P,16169P,90154,47369B,84206A
21144,22354,22350,22352,22356,22344,22349,22348,22346,22345,POST
21145,35645,21694,21392,20848,21376,21393,85031A,21375,22034,21696
21147,90083,DOT,20678,90076,90141E,90141D,90103,90141C,90141A,90101
